Function PSO IPOPES CHC SSGA SSBLX SSArit DEBin DEExp SaDE
F1 1.234e-4 0.000 2.464 8.420e-9 3.402e1 1.064 7.716e-9 8.260e-9 8.416e-9
F2 2.595e-2 0.000 1.180e2 8.719e-5 1.730 5.282 8.342e-9 8.181e-9 8.208e-9
F3 5.174e4 0.000 2.699e5 7.948e4 1.844e5 2.535e5 4.233e1 9.935e1 6.560e3
F4 2.488 2.932e3 9.190e1 2.585e-3 6.228 5.755 7.686e-9 8.350e-9 8.087e-9
F5 4.095e2 8.104e-10 2.641e2 1.343e2 2.185 1.443e1 8.608e-9 8.514e-9 8.640e-9
F6 7.310e2 0.000 1.416e6 6.171 1.145e2 4.945e2 7.956e-9 8.391e-9 1.612e-2
F7 2.678e1 1.267e3 1.269e3 1.271e3 1.966e3 1.908e3 1.266e3 1.265e3 1.263e3
F8 2.043e1 2.001e1 2.034e1 2.037e1 2.035e1 2.036e1 2.033e1 2.038e1 2.032e1
F9 1.438e1 2.841e1 5.886 7.286e-9 4.195 5.960 4.546 8.151e-9 8.330e-9
F10 1.404e1 2.327e1 7.123 1.712e1 1.239e1 2.179e1 1.228e1 1.118e1 1.548e1
F11 5.590 1.343 1.599 3.255 2.929 2.858 2.434 2.067 6.796
F12 6.362e2 2.127e2 7.062e2 2.794e2 1.506e2 2.411e2 1.061e2 6.309e1 5.634e1
F13 1.503 1.134 8.297e1 6.713e1 3.245e1 5.479e1 1.573 6.403e1 7.070e1
F14 3.304 3.775 2.073 2.264 2.796 2.970 3.073 3.158 3.415
F15 3.398e2 1.934e2 2.751e2 2.920e2 1.136e2 1.288e2 3.722e2 2.940e2 8.423e1
F16 1.333e2 1.170e2 9.729e1 1.053e2 1.041e2 1.134e2 1.117e2 1.125e2 1.227e2
F17 1.497e2 3.389e2 1.045e2 1.185e2 1.183e2 1.279e2 1.421e2 1.312e2 1.387e2
F18 8.512e2 5.570e2 8.799e2 8.063e2 7.668e2 6.578e2 5.097e2 4.482e2 5.320e2
F19 8.497e2 5.292e2 8.798e2 8.899e2 7.555e2 7.010e2 5.012e2 4.341e2 5.195e2
F20 8.509e2 5.264e2 8.960e2 8.893e2 7.463e2 6.411e2 4.928e2 4.188e2 4.767e2
F21 9.138e2 4.420e2 8.158e2 8.522e2 4.851e2 5.005e2 5.240e2 5.420e2 5.140e2
F22 8.071e2 7.647e2 7.742e2 7.519e2 6.828e2 6.941e2 7.715e2 7.720e2 7.655e2
F23 1.028e3 8.539e2 1.075e3 1.004e3 5.740e2 5.828e2 6.337e2 5.824e2 6.509e2
F24 4.120e2 6.101e2 2.959e2 2.360e2 2.513e2 2.011e2 2.060e2 2.020e2 2.000e2
F25 5.099e2 1.818e3 1.764e3 1.747e3 1.794e3 1.804e3 1.744e3 1.742e3 1.738e3
